iter	Passed	Remaining
0	1	176
1	3	158
2	4	154
3	5	139
4	7	137
5	9	150
6	11	151
7	13	160
8	15	155
9	16	151
10	18	145
11	19	142
12	20	138
13	21	134
14	24	139
15	26	138
16	28	136
17	30	137
18	31	135
19	33	132
20	34	129
21	36	128
22	37	126
23	39	124
24	41	123
25	44	126
26	46	126
27	48	123
28	49	121
29	50	118
30	52	116
31	53	114
32	55	112
33	58	113
34	61	113
35	62	111
36	65	111
37	66	109
38	69	108
39	70	106
40	73	106
41	74	102
42	76	101
43	77	98
44	79	97
45	81	95
46	83	94
47	85	92
48	87	90
49	89	89
50	91	87
51	92	85
52	94	83
53	96	81
54	97	79
55	99	78
56	101	76
57	102	74
58	104	72
59	106	70
60	107	68
61	108	66
62	110	64
63	112	63
64	113	61
65	115	59
66	117	57
67	119	56
68	121	54
69	122	52
70	125	51
71	126	49
72	129	47
73	130	45
74	132	44
75	135	42
76	137	41
77	138	39
78	139	37
79	141	35
80	142	33
81	143	31
82	145	29
83	147	28
84	150	26
85	152	24
86	153	22
87	155	21
88	156	19
89	157	17
90	159	15
91	160	13
92	162	12
93	164	10
94	165	8
95	167	6
96	168	5
97	169	3
98	171	1
99	173	0
